"","Samples","Nr_NA_before_gap","Nr_NA_after_gap","outlier_gaphunter","percent_outlier_gaphunter"
"1","200693480153_R01C01",1816,5,-1811,-0.245213197371574
"2","200693480153_R02C01",2170,3,-2167,-0.293557052616749
"3","200693480153_R03C01",1959,2,-1957,-0.265033220566686
"4","200693480153_R04C01",1856,2,-1854,-0.251049084564544
"5","200693480153_R05C01",1806,2,-1804,-0.244262075333999
"6","200693480153_R06C01",2282,1,-2281,-0.309047183551807
"7","200693480153_R07C01",1838,2,-1836,-0.248605655372441
"8","200693480153_R08C01",1818,1,-1817,-0.246026276202069
"9","200705360003_R01C01",1831,19,-1812,-0.245353582676846
"10","200705360003_R02C01",1810,2,-1808,-0.244805002254427
"11","200705360003_R03C01",1944,5,-1939,-0.262590176500143
"12","200705360003_R04C01",2172,1,-2171,-0.294099717550479
"13","200705360003_R05C01",1882,4,-1878,-0.254307864179559
"14","200705360003_R06C01",1773,3,-1770,-0.239647758413396
"15","200705360003_R07C01",2277,4,-2273,-0.307961196618253
"16","200705360003_R08C01",1850,21,-1829,-0.247661836651515
"17","200705360018_R01C01",1796,2,-1794,-0.242904783761937
"18","200705360018_R02C01",2257,5,-2252,-0.305107708982523
"19","200705360018_R03C01",1849,4,-1845,-0.249828031653008
"20","200705360018_R04C01",1817,2,-1815,-0.245755138516533
"21","200705360018_R05C01",2210,4,-2206,-0.298856460840456
"22","200705360018_R06C01",1915,2,-1913,-0.259058937601057
"23","200705360018_R07C01",1857,5,-1852,-0.250778605280975
"24","200705360018_R08C01",1825,3,-1822,-0.246705626838106
"25","200705360019_R01C01",1803,0,-1803,-0.244125683430054
"26","200705360019_R02C01",2284,0,-2284,-0.309454484854479
"27","200705360019_R03C01",1832,0,-1832,-0.248062015503876
"28","200705360019_R04C01",1828,0,-1828,-0.247519054769684
"29","200705360025_R01C01",2177,3,-2174,-0.294508114552006
"30","200705360025_R02C01",1957,3,-1954,-0.264626218851571
"31","200705360025_R03C01",1858,2,-1856,-0.251320584049538
