CD8T;CD4T;NK;Bcell;Mono;Gran
200715340057_R01C01;0.0487259465024278;0.181594910053377;0;0.0661858324601462;0.0600599420625782;0.661989598068009
200715340057_R02C01;0.0188496853889461;0.0819779338161928;0;0.0338710179764463;0.0421361176706543;0.835410884342163
200715340057_R03C01;0.10766005662313;0.14933043715406;0.0480099020422379;0.102737407615138;0.0746631047948689;0.538644421350602
200715340057_R04C01;0.0489980322209763;0.0606719733510384;0.0440121482445686;0.0627054203302749;0.0555168690321415;0.746590807795716
200715340057_R05C01;0.101102272679456;0.273836510765227;0;0.115942642425924;0.0586257983255224;0.477392407796707
200715340057_R06C01;0.05235669790145;0.0569473985524126;0.00722390685679629;0.0689822068232546;0.0339764091252178;0.809244055038764
200715340057_R07C01;0.147443722666833;0.150550604177552;0.0454143538440189;0.0603130476130972;0.0738290658323831;0.548614117390118
200715340057_R08C01;0.10914445135127;0.0795847090563066;0.0178934256089095;0.0337878440484457;0.0511382878829042;0.725278727218684
200715340073_R01C01;0.110692822382725;0.213984015758558;0.056204734557867;0.0704660571745191;0.0386504620139916;0.52993768786616
200715340073_R02C01;0.0757949912899814;0.111525196691091;0.0177122282954976;0.0458832182741382;0.0313252890408431;0.730448733280143
200715340073_R03C01;0.10810228625053;0.219109437137034;0.0965054803606329;0.0757199532496773;0.0614868759136086;0.459101881888554
200715340073_R04C01;0.0364353058162759;0.0663193563980583;0.0451460618930937;0.036431574513263;0.0611192231537658;0.768554196260561
200715340073_R05C01;0.026826194948445;0.27593340024195;0.0404550877840748;0.0446014206361786;0.0602599902856299;0.572048162697859
200715340073_R06C01;0;0.139837037244728;0.0601424851937783;0.0300017687795017;0.0457594244498065;0.741591299637586
200715340073_R07C01;0.0889735414131044;0.15499581214178;0.0905023624797003;0.0552043059299142;0.0700224851232238;0.580272863031661
200715340073_R08C01;0.0189202400684002;0.0297000115868909;0.0621530172560354;0.0326246458315588;0.0366774361387353;0.841516328043382
200712160102_R01C01;0.0307454877667644;0.122049613463189;0.0391647066553416;0.084892524802387;0.076630791568685;0.659313401211352
200712160102_R02C01;0;0.0449326579126038;0.0217050186850547;0.0425597569342277;0.0425520739728448;0.858813727820163
200712160102_R03C01;0.0760988197549251;0.223046908411101;0.0714699873859368;0.0741307726210374;0.106352634244878;0.466499102040563
200712160102_R04C01;0.0314470921331163;0.0586127355027534;0.01312906406027;0.0454909159090308;0.0485538595365779;0.81788705749796
200712160102_R05C01;0.0393558935036488;0.17195820388534;0.0336547442344611;0.0430412984973975;0.0608436035798239;0.67083689357285
200712160102_R06C01;0.0323340698251211;0.0675184123334674;0.0235984119426694;0.0324355012920889;0.0479174752400363;0.814922906324492
200712160102_R07C01;0.13503909785288;0.22409194293694;0.0293039613816399;0.0896037522914915;0.0539298109730227;0.493086666700692
200712160102_R08C01;0.0712042423492132;0.0787960165072134;0.0257674283462283;0.0481577641589868;0.0521143420174844;0.739568598052012
200715340075_R01C01;0.0499282583791068;0.102227024025672;0.0326808969690842;0.0545963739286342;0.0430847666773954;0.728930704397259
200715340075_R02C01;0.0904985647669415;0.165607091788076;0.00489583700370412;0.0874458903833499;0.0334656621141425;0.636460572342601
200715340075_R03C01;0.0554153291931306;0.103851839447095;0.0169199873384614;0.065300305042067;0.0276613069115491;0.742221069621846
200715340075_R04C01;0.120282061338853;0.189581464624881;0.000123899037351686;0.0850655795885386;0.0516175336096019;0.570755776270783
200715340075_R05C01;0.0450847900814842;0.109075965700442;0.0777014064659789;0.0644958948495501;0.0867961105154169;0.639798545439242
200715340075_R06C01;0.0410209116461292;0.11218003495998;0.110524816371704;0.0667165853659461;0.102721621549134;0.59585186179423
200715340075_R07C01;0.056716818728204;0.150187834268473;0.0020877099905081;0.057706509790015;0.0452429739986871;0.700871287213091
200715340075_R08C01;0.0594104944007327;0.20736045004829;0.0045302904888732;0.0691650171348621;0.0582129979946675;0.608717291582343
200705360079_R01C01;0.104425869771134;0.142508541857118;0.0477126535888519;0.0644101962315799;0.0763802428443787;0.569604518907489
200705360079_R02C01;0.0655610986065512;0.0481766907420605;0.0416519818224504;0.0418600649645901;0.0468170190563694;0.770661576830305
200705360079_R03C01;0.0585343353409421;0.175667314948134;0.0172141003462343;0.0704092047525191;0.0648368995570137;0.631216046361982
200705360079_R04C01;0.0284498654407296;0.106975748922605;0.0116272598703135;0.0447883321236404;0.0513652500234252;0.766268089481711
200705360079_R05C01;0.152053270495492;0.22948060534218;0.00441669172725747;0.102238138450906;0.0331108004642595;0.500242310113127
200705360079_R06C01;0.0639559148077813;0.0999258579417664;0.0139802592451301;0.0548519136622546;0.0454535531080465;0.741458204780487
200705360079_R07C01;0.102844254327633;0.173169668406955;0;0.106467213768948;0.0743082453245145;0.568856507243255
200705360079_R08C01;0.0465336609293012;0.0844905817323401;0.0049573749817962;0.0531345953810354;0.0633191914722763;0.757978474536322
200705360018_R01C01;0.0277540589844548;0.140576708097954;0.0300995726830446;0.0539399864733382;0.0510274213914009;0.706591835807433
200705360018_R02C01;0.00517317375978747;0.0912104658891124;0.0263610027612074;0.0444221260013189;0.0485714592587915;0.79087365582129
200705360018_R03C01;0.0742298138161817;0.139854347551127;0.0412277553901374;0.0720068399520072;0.0891731629725518;0.603846279280709
200705360018_R04C01;0.00832939414426774;0.0399626726093852;0.0447034496430402;0.0365649837579796;0.0404103642766494;0.845802364103488
200705360018_R05C01;0.156911664955457;0.270497308345431;0.0167425035283165;0.118995810145622;0.0529698265159717;0.395013507885992
200705360018_R06C01;0.12243847597158;0.159395993153218;0.0221095066761695;0.0903637929191069;0.037488123667242;0.585481694662013
